gene_id	go_id	Evidence	Ontology
CALMACT00000000523	GO:0004185	IEA	MF
CALMACT00000000523	GO:0006508	IEA	BP
CALMACT00000024981	GO:0005319	IEA	MF
CALMACT00000024981	GO:0006869	IEA	BP
CALMACT00000024981	GO:0016021	IEA	CC
CALMACT00000016928	GO:0005622	IEA	CC
CALMACT00000016928	GO:0007165	IEA	BP
CALMACT00000016928	GO:0007165	IEA	BP
CALMACT00000020624	GO:0003824	IEA	MF
CALMACT00000020624	GO:0004497	IEA	MF
CALMACT00000020624	GO:0005507	IEA	MF
CALMACT00000020624	GO:0016715	IEA	MF
CALMACT00000020624	GO:0055114	IEA	BP
CALMACT00000025360	GO:0005515	IEA	MF
CALMACT00000020794	GO:0035556	IEA	BP
CALMACT00000028449	GO:0000413	IEA	BP
CALMACT00000028449	GO:0003755	IEA	MF
CALMACT00000028449	GO:0006457	IEA	BP
CALMACT00000028449	GO:0005515	IEA	MF
CALMACT00000013095	GO:0003729	IEA	MF
CALMACT00000013095	GO:0005685	IEA	CC
CALMACT00000013095	GO:0006376	IEA	BP
CALMACT00000002167	GO:0005515	IEA	MF
CALMACT00000002167	GO:0005524	IEA	MF
CALMACT00000002167	GO:0005694	IEA	CC
CALMACT00000002167	GO:0051276	IEA	BP
CALMACT00000005873	GO:0016791	IEA	MF
CALMACT00000006496	GO:0016021	IEA	CC
CALMACT00000006496	GO:0022857	IEA	MF
CALMACT00000006496	GO:0055085	IEA	BP
CALMACT00000006496	GO:0016021	IEA	CC
CALMACT00000006496	GO:0055085	IEA	BP
CALMACT00000007448	GO:0004842	IEA	MF
CALMACT00000007448	GO:0016567	IEA	BP
CALMACT00000009504	GO:0016021	IEA	CC
CALMACT00000009504	GO:0055085	IEA	BP
CALMACT00000031011	GO:0016301	IEA	MF
CALMACT00000031011	GO:0016772	IEA	MF
CALMACT00000020692	GO:0005102	IEA	MF
CALMACT00000020692	GO:0005576	IEA	CC
CALMACT00000020692	GO:0007275	IEA	BP
CALMACT00000020692	GO:0016055	IEA	BP
CALMACT00000022957	GO:0003824	IEA	MF
CALMACT00000022957	GO:0046872	IEA	MF
CALMACT00000008478	GO:0005524	IEA	MF
CALMACT00000008478	GO:0016020	IEA	CC
CALMACT00000008478	GO:0017038	IEA	BP
CALMACT00000008478	GO:0016020	IEA	CC
CALMACT00000008478	GO:0017038	IEA	BP
CALMACT00000024593	GO:0004930	IEA	MF
CALMACT00000024593	GO:0007186	IEA	BP
CALMACT00000024593	GO:0016021	IEA	CC
CALMACT00000011519	GO:0005515	IEA	MF
CALMACT00000032634	GO:0003676	IEA	MF
CALMACT00000032634	GO:0016491	IEA	MF
CALMACT00000000843	GO:0008270	IEA	MF
CALMACT00000021116	GO:0003824	IEA	MF
CALMACT00000021116	GO:0004252	IEA	MF
CALMACT00000021116	GO:0006508	IEA	BP
CALMACT00000028160	GO:0005576	IEA	CC
CALMACT00000028160	GO:0008200	IEA	MF
CALMACT00000028160	GO:0009405	IEA	BP
CALMACT00000011430	GO:0005515	IEA	MF
CALMACT00000002959	GO:0009058	IEA	BP
CALMACT00000002959	GO:0030170	IEA	MF
